State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Bihar,Patna,Sexual Harassment,Cyber Helpline - Patna 72,Cyber Helpline,+91-7735375280,Sexual Harassment Patna Bihar
Assam,Silchar,Domestic Violence,Elder Help NGO - Silchar 53,Elder Help NGO,+91-7383704419,Domestic Violence Silchar Assam
Uttar Pradesh,Varanasi,Domestic Violence,Women's Helpline - Varanasi 75,Women's Helpline,+91-7462704898,Domestic Violence Varanasi Uttar Pradesh
Karnataka,Mysore,Dowry,Legal Aid NGO - Mysore 42,Legal Aid NGO,+91-8164896442,Dowry Mysore Karnataka
Chhattisgarh,Bilaspur,Dowry,District Legal Services Authority - Bilaspur 80,District Legal Services Authority,+91-9921171919,Dowry Bilaspur Chhattisgarh
West Bengal,Siliguri,Child Abuse,Legal Aid NGO - Siliguri 78,Legal Aid NGO,+91-8366665343,Child Abuse Siliguri West Bengal
Odisha,Rourkela,Property Dispute,Women's Helpline - Rourkela 93,Women's Helpline,+91-7296883047,Property Dispute Rourkela Odisha
Bihar,Bhagalpur,Dowry,Legal Clinic - Bhagalpur 10,Legal Clinic,+91-8539112586,Dowry Bhagalpur Bihar
Madhya Pradesh,Bhopal,Property Dispute,Childline - Bhopal 13,Childline,+91-9195561321,Property Dispute Bhopal Madhya Pradesh
Tamil Nadu,Chennai,Domestic Violence,Cyber Helpline - Chennai 22,Cyber Helpline,+91-7613911930,Domestic Violence Chennai Tamil Nadu
Uttar Pradesh,Varanasi,Sexual Harassment,District Legal Services Authority - Varanasi 33,District Legal Services Authority,+91-9658711701,Sexual Harassment Varanasi Uttar Pradesh
Telangana,Nizamabad,Property Dispute,Childline - Nizamabad 36,Childline,+91-9460339560,Property Dispute Nizamabad Telangana
Delhi,New Delhi,Domestic Violence,Cyber Helpline - New Delhi 9,Cyber Helpline,+91-8720903973,Domestic Violence New Delhi Delhi
Telangana,Hyderabad,Child Abuse,Legal Aid NGO - Hyderabad 21,Legal Aid NGO,+91-9963955329,Child Abuse Hyderabad Telangana
Jharkhand,Jamshedpur,Caste Discrimination,Childline - Jamshedpur 68,Childline,+91-8633096902,Caste Discrimination Jamshedpur Jharkhand
Tamil Nadu,Madurai,Dowry,Elder Help NGO - Madurai 60,Elder Help NGO,+91-9884211028,Dowry Madurai Tamil Nadu
Chhattisgarh,Raipur,Cyber Crime,Childline - Raipur 24,Childline,+91-7487129467,Cyber Crime Raipur Chhattisgarh
Uttar Pradesh,Varanasi,Dowry,Elder Help NGO - Varanasi 82,Elder Help NGO,+91-9961436623,Dowry Varanasi Uttar Pradesh
West Bengal,Howrah,Senior Citizen Abuse,Women's Helpline - Howrah 18,Women's Helpline,+91-7078277906,Senior Citizen Abuse Howrah West Bengal
Jharkhand,Jamshedpur,Dowry,Elder Help NGO - Jamshedpur 56,Elder Help NGO,+91-8020651139,Dowry Jamshedpur Jharkhand
Uttar Pradesh,Varanasi,Caste Discrimination,District Legal Services Authority - Varanasi 30,District Legal Services Authority,+91-7944821646,Caste Discrimination Varanasi Uttar Pradesh
Odisha,Rourkela,Dowry,Elder Help NGO - Rourkela 99,Elder Help NGO,+91-8544523693,Dowry Rourkela Odisha
Chhattisgarh,Raipur,Cyber Crime,Legal Clinic - Raipur 4,Legal Clinic,+91-9194797273,Cyber Crime Raipur Chhattisgarh
Telangana,Hyderabad,Cyber Crime,Legal Aid NGO - Hyderabad 5,Legal Aid NGO,+91-7429169579,Cyber Crime Hyderabad Telangana
Bihar,Patna,Senior Citizen Abuse,Elder Help NGO - Patna 69,Elder Help NGO,+91-9932140085,Senior Citizen Abuse Patna Bihar
Tamil Nadu,Coimbatore,Child Abuse,Women's Helpline - Coimbatore 59,Women's Helpline,+91-9424175441,Child Abuse Coimbatore Tamil Nadu
Telangana,Nizamabad,Dowry,Legal Clinic - Nizamabad 77,Legal Clinic,+91-7462019212,Dowry Nizamabad Telangana
Chhattisgarh,Bilaspur,Sexual Harassment,Women's Helpline - Bilaspur 95,Women's Helpline,+91-8529232157,Sexual Harassment Bilaspur Chhattisgarh
Chhattisgarh,Bilaspur,Senior Citizen Abuse,Legal Clinic - Bilaspur 10,Legal Clinic,+91-7454606483,Senior Citizen Abuse Bilaspur Chhattisgarh
Assam,Guwahati,Property Dispute,Legal Aid NGO - Guwahati 63,Legal Aid NGO,+91-7681913300,Property Dispute Guwahati Assam
Madhya Pradesh,Jabalpur,Sexual Harassment,Women's Helpline - Jabalpur 18,Women's Helpline,+91-8382396276,Sexual Harassment Jabalpur Madhya Pradesh
Tamil Nadu,Madurai,Property Dispute,Women's Helpline - Madurai 25,Women's Helpline,+91-9040924348,Property Dispute Madurai Tamil Nadu
Telangana,Hyderabad,Domestic Violence,Legal Aid NGO - Hyderabad 27,Legal Aid NGO,+91-7226578397,Domestic Violence Hyderabad Telangana
Gujarat,Vadodara,Dowry,Cyber Helpline - Vadodara 14,Cyber Helpline,+91-7585702523,Dowry Vadodara Gujarat
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 88,Legal Clinic,+91-7835048722,Dowry Nagpur Maharashtra
Maharashtra,Nagpur,Child Abuse,Childline - Nagpur 88,Childline,+91-7617930595,Child Abuse Nagpur Maharashtra
Madhya Pradesh,Jabalpur,Property Dispute,Legal Aid NGO - Jabalpur 19,Legal Aid NGO,+91-8051873699,Property Dispute Jabalpur Madhya Pradesh
Punjab,Amritsar,Domestic Violence,District Legal Services Authority - Amritsar 54,District Legal Services Authority,+91-8798621617,Domestic Violence Amritsar Punjab
Karnataka,Mangalore,Child Abuse,Women's Helpline - Mangalore 36,Women's Helpline,+91-9587103145,Child Abuse Mangalore Karnataka
Punjab,Chandigarh,Property Dispute,Childline - Chandigarh 68,Childline,+91-9128193181,Property Dispute Chandigarh Punjab
Bihar,Gaya,Cyber Crime,Legal Clinic - Gaya 77,Legal Clinic,+91-9008261954,Cyber Crime Gaya Bihar
Andhra Pradesh,Guntur,Cyber Crime,Childline - Guntur 94,Childline,+91-8153526585,Cyber Crime Guntur Andhra Pradesh
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Aid NGO - Lucknow 16,Legal Aid NGO,+91-9327275667,Senior Citizen Abuse Lucknow Uttar Pradesh
Odisha,Bhubaneswar,Senior Citizen Abuse,Legal Clinic - Bhubaneswar 61,Legal Clinic,+91-7935108165,Senior Citizen Abuse Bhubaneswar Odisha
Madhya Pradesh,Bhopal,Caste Discrimination,Cyber Helpline - Bhopal 44,Cyber Helpline,+91-9634314484,Caste Discrimination Bhopal Madhya Pradesh
Assam,Guwahati,Domestic Violence,Legal Aid NGO - Guwahati 85,Legal Aid NGO,+91-7228438087,Domestic Violence Guwahati Assam
Tamil Nadu,Coimbatore,Sexual Harassment,Childline - Coimbatore 73,Childline,+91-7728885087,Sexual Harassment Coimbatore Tamil Nadu
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Legal Aid NGO - Visakhapatnam 68,Legal Aid NGO,+91-9982748327,Caste Discrimination Visakhapatnam Andhra Pradesh
Karnataka,Mysore,Child Abuse,Legal Aid NGO - Mysore 1,Legal Aid NGO,+91-7942601166,Child Abuse Mysore Karnataka
West Bengal,Howrah,Child Abuse,Legal Clinic - Howrah 81,Legal Clinic,+91-8867525136,Child Abuse Howrah West Bengal
Telangana,Warangal,Cyber Crime,Women's Helpline - Warangal 59,Women's Helpline,+91-8573118908,Cyber Crime Warangal Telangana
Assam,Dibrugarh,Property Dispute,Elder Help NGO - Dibrugarh 39,Elder Help NGO,+91-9389373955,Property Dispute Dibrugarh Assam
Gujarat,Surat,Caste Discrimination,District Legal Services Authority - Surat 73,District Legal Services Authority,+91-7876781024,Caste Discrimination Surat Gujarat
Punjab,Chandigarh,Dowry,Women's Helpline - Chandigarh 30,Women's Helpline,+91-7772815417,Dowry Chandigarh Punjab
Chhattisgarh,Raipur,Domestic Violence,Elder Help NGO - Raipur 81,Elder Help NGO,+91-7534845572,Domestic Violence Raipur Chhattisgarh
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 95,Legal Clinic,+91-7475008437,Dowry Nagpur Maharashtra
Delhi,New Delhi,Senior Citizen Abuse,District Legal Services Authority - New Delhi 50,District Legal Services Authority,+91-7734705677,Senior Citizen Abuse New Delhi Delhi
Bihar,Gaya,Caste Discrimination,Cyber Helpline - Gaya 16,Cyber Helpline,+91-9417080753,Caste Discrimination Gaya Bihar
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Clinic - Srinagar 63,Legal Clinic,+91-9255026886,Domestic Violence Srinagar Jammu & Kashmir
Rajasthan,Jodhpur,Property Dispute,Childline - Jodhpur 69,Childline,+91-7308121279,Property Dispute Jodhpur Rajasthan
Andhra Pradesh,Vijayawada,Child Abuse,Legal Clinic - Vijayawada 89,Legal Clinic,+91-9696761276,Child Abuse Vijayawada Andhra Pradesh
West Bengal,Howrah,Caste Discrimination,District Legal Services Authority - Howrah 17,District Legal Services Authority,+91-8724638172,Caste Discrimination Howrah West Bengal
Chhattisgarh,Durg,Cyber Crime,Cyber Helpline - Durg 85,Cyber Helpline,+91-8687870486,Cyber Crime Durg Chhattisgarh
Assam,Dibrugarh,Property Dispute,Women's Helpline - Dibrugarh 10,Women's Helpline,+91-7112783049,Property Dispute Dibrugarh Assam
Gujarat,Surat,Caste Discrimination,Childline - Surat 61,Childline,+91-8547114554,Caste Discrimination Surat Gujarat
Tamil Nadu,Coimbatore,Caste Discrimination,Women's Helpline - Coimbatore 19,Women's Helpline,+91-7777025049,Caste Discrimination Coimbatore Tamil Nadu
Madhya Pradesh,Bhopal,Domestic Violence,Childline - Bhopal 85,Childline,+91-8932657572,Domestic Violence Bhopal Madhya Pradesh
West Bengal,Siliguri,Sexual Harassment,Childline - Siliguri 8,Childline,+91-9146515561,Sexual Harassment Siliguri West Bengal
Jammu & Kashmir,Jammu,Senior Citizen Abuse,Legal Clinic - Jammu 66,Legal Clinic,+91-7424356984,Senior Citizen Abuse Jammu Jammu & Kashmir
Punjab,Amritsar,Senior Citizen Abuse,Elder Help NGO - Amritsar 50,Elder Help NGO,+91-8764896289,Senior Citizen Abuse Amritsar Punjab
Kerala,Kozhikode,Cyber Crime,Childline - Kozhikode 10,Childline,+91-9823424327,Cyber Crime Kozhikode Kerala
Andhra Pradesh,Visakhapatnam,Cyber Crime,Women's Helpline - Visakhapatnam 80,Women's Helpline,+91-8143865482,Cyber Crime Visakhapatnam Andhra Pradesh
Chhattisgarh,Bilaspur,Senior Citizen Abuse,Cyber Helpline - Bilaspur 11,Cyber Helpline,+91-7605725560,Senior Citizen Abuse Bilaspur Chhattisgarh
Bihar,Gaya,Dowry,Childline - Gaya 24,Childline,+91-7257539447,Dowry Gaya Bihar
Karnataka,Mangalore,Dowry,Women's Helpline - Mangalore 18,Women's Helpline,+91-7031982722,Dowry Mangalore Karnataka
Karnataka,Bengaluru,Property Dispute,Cyber Helpline - Bengaluru 14,Cyber Helpline,+91-7436198513,Property Dispute Bengaluru Karnataka
Telangana,Nizamabad,Property Dispute,Legal Aid NGO - Nizamabad 32,Legal Aid NGO,+91-7543738061,Property Dispute Nizamabad Telangana
Bihar,Patna,Senior Citizen Abuse,Women's Helpline - Patna 68,Women's Helpline,+91-8933672154,Senior Citizen Abuse Patna Bihar
Punjab,Ludhiana,Cyber Crime,Elder Help NGO - Ludhiana 4,Elder Help NGO,+91-7004960515,Cyber Crime Ludhiana Punjab
Gujarat,Vadodara,Dowry,Legal Aid NGO - Vadodara 25,Legal Aid NGO,+91-8344893221,Dowry Vadodara Gujarat
Karnataka,Mysore,Caste Discrimination,Legal Aid NGO - Mysore 8,Legal Aid NGO,+91-7680123021,Caste Discrimination Mysore Karnataka
West Bengal,Kolkata,Child Abuse,Legal Clinic - Kolkata 78,Legal Clinic,+91-8242758313,Child Abuse Kolkata West Bengal
Assam,Guwahati,Caste Discrimination,Childline - Guwahati 79,Childline,+91-9808770419,Caste Discrimination Guwahati Assam
Rajasthan,Udaipur,Sexual Harassment,Cyber Helpline - Udaipur 36,Cyber Helpline,+91-8827221765,Sexual Harassment Udaipur Rajasthan
Delhi,New Delhi,Dowry,Childline - New Delhi 36,Childline,+91-8921143695,Dowry New Delhi Delhi
Maharashtra,Mumbai,Child Abuse,District Legal Services Authority - Mumbai 34,District Legal Services Authority,+91-9368444179,Child Abuse Mumbai Maharashtra
Bihar,Patna,Dowry,Legal Aid NGO - Patna 30,Legal Aid NGO,+91-8834303174,Dowry Patna Bihar
Tamil Nadu,Chennai,Sexual Harassment,Childline - Chennai 55,Childline,+91-7360510141,Sexual Harassment Chennai Tamil Nadu
Madhya Pradesh,Bhopal,Property Dispute,Cyber Helpline - Bhopal 52,Cyber Helpline,+91-8671608989,Property Dispute Bhopal Madhya Pradesh
Bihar,Bhagalpur,Sexual Harassment,Women's Helpline - Bhagalpur 22,Women's Helpline,+91-7256516867,Sexual Harassment Bhagalpur Bihar
Madhya Pradesh,Indore,Property Dispute,District Legal Services Authority - Indore 87,District Legal Services Authority,+91-9237041591,Property Dispute Indore Madhya Pradesh
Madhya Pradesh,Indore,Child Abuse,District Legal Services Authority - Indore 81,District Legal Services Authority,+91-8470650780,Child Abuse Indore Madhya Pradesh
Telangana,Hyderabad,Property Dispute,Women's Helpline - Hyderabad 56,Women's Helpline,+91-8512161022,Property Dispute Hyderabad Telangana
Jammu & Kashmir,Jammu,Child Abuse,District Legal Services Authority - Jammu 32,District Legal Services Authority,+91-8673215047,Child Abuse Jammu Jammu & Kashmir
Jharkhand,Dhanbad,Sexual Harassment,Elder Help NGO - Dhanbad 32,Elder Help NGO,+91-7349182318,Sexual Harassment Dhanbad Jharkhand
Telangana,Nizamabad,Domestic Violence,District Legal Services Authority - Nizamabad 22,District Legal Services Authority,+91-9775595806,Domestic Violence Nizamabad Telangana
Gujarat,Ahmedabad,Domestic Violence,District Legal Services Authority - Ahmedabad 66,District Legal Services Authority,+91-9479031983,Domestic Violence Ahmedabad Gujarat
Jharkhand,Dhanbad,Sexual Harassment,Women's Helpline - Dhanbad 37,Women's Helpline,+91-8068984519,Sexual Harassment Dhanbad Jharkhand
Andhra Pradesh,Visakhapatnam,Cyber Crime,Elder Help NGO - Visakhapatnam 48,Elder Help NGO,+91-8005050404,Cyber Crime Visakhapatnam Andhra Pradesh
Assam,Dibrugarh,Senior Citizen Abuse,Women's Helpline - Dibrugarh 6,Women's Helpline,+91-8146588836,Senior Citizen Abuse Dibrugarh Assam
Telangana,Nizamabad,Senior Citizen Abuse,Cyber Helpline - Nizamabad 11,Cyber Helpline,+91-8479327752,Senior Citizen Abuse Nizamabad Telangana
Odisha,Cuttack,Child Abuse,Childline - Cuttack 29,Childline,+91-8003812887,Child Abuse Cuttack Odisha
Chhattisgarh,Durg,Domestic Violence,Elder Help NGO - Durg 12,Elder Help NGO,+91-7248277262,Domestic Violence Durg Chhattisgarh
Bihar,Bhagalpur,Domestic Violence,Elder Help NGO - Bhagalpur 65,Elder Help NGO,+91-8458968825,Domestic Violence Bhagalpur Bihar
West Bengal,Howrah,Domestic Violence,District Legal Services Authority - Howrah 73,District Legal Services Authority,+91-8857192940,Domestic Violence Howrah West Bengal
Andhra Pradesh,Vijayawada,Property Dispute,District Legal Services Authority - Vijayawada 20,District Legal Services Authority,+91-8693616677,Property Dispute Vijayawada Andhra Pradesh
Karnataka,Bengaluru,Sexual Harassment,Cyber Helpline - Bengaluru 46,Cyber Helpline,+91-8321356021,Sexual Harassment Bengaluru Karnataka
Assam,Silchar,Dowry,Legal Aid NGO - Silchar 58,Legal Aid NGO,+91-7157646813,Dowry Silchar Assam
Maharashtra,Nagpur,Sexual Harassment,Childline - Nagpur 29,Childline,+91-7189312721,Sexual Harassment Nagpur Maharashtra
Rajasthan,Jaipur,Dowry,Elder Help NGO - Jaipur 91,Elder Help NGO,+91-8241770897,Dowry Jaipur Rajasthan
Maharashtra,Pune,Child Abuse,Cyber Helpline - Pune 67,Cyber Helpline,+91-9931189360,Child Abuse Pune Maharashtra
West Bengal,Siliguri,Domestic Violence,District Legal Services Authority - Siliguri 82,District Legal Services Authority,+91-9429758182,Domestic Violence Siliguri West Bengal
Bihar,Gaya,Cyber Crime,District Legal Services Authority - Gaya 91,District Legal Services Authority,+91-8995906028,Cyber Crime Gaya Bihar
Andhra Pradesh,Guntur,Senior Citizen Abuse,Legal Aid NGO - Guntur 73,Legal Aid NGO,+91-9746998580,Senior Citizen Abuse Guntur Andhra Pradesh
Delhi,New Delhi,Senior Citizen Abuse,Elder Help NGO - New Delhi 59,Elder Help NGO,+91-7785357634,Senior Citizen Abuse New Delhi Delhi
Bihar,Bhagalpur,Child Abuse,District Legal Services Authority - Bhagalpur 43,District Legal Services Authority,+91-9901197403,Child Abuse Bhagalpur Bihar
Assam,Silchar,Senior Citizen Abuse,Cyber Helpline - Silchar 39,Cyber Helpline,+91-9567117854,Senior Citizen Abuse Silchar Assam
Assam,Guwahati,Caste Discrimination,Cyber Helpline - Guwahati 14,Cyber Helpline,+91-7485021808,Caste Discrimination Guwahati Assam
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 20,Legal Aid NGO,+91-8322886044,Senior Citizen Abuse Nizamabad Telangana
Haryana,Gurgaon,Senior Citizen Abuse,District Legal Services Authority - Gurgaon 30,District Legal Services Authority,+91-9139792997,Senior Citizen Abuse Gurgaon Haryana
Jharkhand,Jamshedpur,Domestic Violence,Elder Help NGO - Jamshedpur 17,Elder Help NGO,+91-8909651838,Domestic Violence Jamshedpur Jharkhand
Assam,Dibrugarh,Dowry,Cyber Helpline - Dibrugarh 66,Cyber Helpline,+91-7817751564,Dowry Dibrugarh Assam
Madhya Pradesh,Indore,Property Dispute,Elder Help NGO - Indore 81,Elder Help NGO,+91-7601038367,Property Dispute Indore Madhya Pradesh
Uttar Pradesh,Lucknow,Dowry,District Legal Services Authority - Lucknow 64,District Legal Services Authority,+91-9613754497,Dowry Lucknow Uttar Pradesh
Jammu & Kashmir,Srinagar,Dowry,Women's Helpline - Srinagar 23,Women's Helpline,+91-8756108523,Dowry Srinagar Jammu & Kashmir
Rajasthan,Udaipur,Senior Citizen Abuse,Childline - Udaipur 92,Childline,+91-8931867714,Senior Citizen Abuse Udaipur Rajasthan
Assam,Guwahati,Caste Discrimination,Women's Helpline - Guwahati 13,Women's Helpline,+91-9442048738,Caste Discrimination Guwahati Assam
Maharashtra,Mumbai,Caste Discrimination,Childline - Mumbai 1,Childline,+91-7031521614,Caste Discrimination Mumbai Maharashtra
Bihar,Gaya,Cyber Crime,Legal Clinic - Gaya 86,Legal Clinic,+91-7262233099,Cyber Crime Gaya Bihar
Andhra Pradesh,Guntur,Dowry,Legal Aid NGO - Guntur 27,Legal Aid NGO,+91-7289185829,Dowry Guntur Andhra Pradesh
Gujarat,Vadodara,Cyber Crime,District Legal Services Authority - Vadodara 56,District Legal Services Authority,+91-8628958703,Cyber Crime Vadodara Gujarat
Rajasthan,Jodhpur,Senior Citizen Abuse,Childline - Jodhpur 10,Childline,+91-9214616532,Senior Citizen Abuse Jodhpur Rajasthan
Bihar,Patna,Dowry,District Legal Services Authority - Patna 86,District Legal Services Authority,+91-7600694714,Dowry Patna Bihar
Assam,Silchar,Sexual Harassment,District Legal Services Authority - Silchar 90,District Legal Services Authority,+91-7474898949,Sexual Harassment Silchar Assam
Haryana,Gurgaon,Senior Citizen Abuse,Elder Help NGO - Gurgaon 27,Elder Help NGO,+91-7876611257,Senior Citizen Abuse Gurgaon Haryana
Assam,Silchar,Dowry,District Legal Services Authority - Silchar 4,District Legal Services Authority,+91-9396938903,Dowry Silchar Assam
Delhi,New Delhi,Sexual Harassment,Cyber Helpline - New Delhi 37,Cyber Helpline,+91-8706698505,Sexual Harassment New Delhi Delhi
Punjab,Amritsar,Caste Discrimination,District Legal Services Authority - Amritsar 13,District Legal Services Authority,+91-8084796266,Caste Discrimination Amritsar Punjab
Andhra Pradesh,Guntur,Child Abuse,Cyber Helpline - Guntur 43,Cyber Helpline,+91-7099835959,Child Abuse Guntur Andhra Pradesh
Tamil Nadu,Chennai,Property Dispute,District Legal Services Authority - Chennai 26,District Legal Services Authority,+91-9896991972,Property Dispute Chennai Tamil Nadu
Rajasthan,Jaipur,Cyber Crime,Cyber Helpline - Jaipur 35,Cyber Helpline,+91-9017737062,Cyber Crime Jaipur Rajasthan
Kerala,Kochi,Caste Discrimination,District Legal Services Authority - Kochi 81,District Legal Services Authority,+91-8059962252,Caste Discrimination Kochi Kerala
Uttar Pradesh,Varanasi,Sexual Harassment,Legal Aid NGO - Varanasi 57,Legal Aid NGO,+91-7878760086,Sexual Harassment Varanasi Uttar Pradesh
Rajasthan,Jodhpur,Cyber Crime,Legal Clinic - Jodhpur 22,Legal Clinic,+91-7457277888,Cyber Crime Jodhpur Rajasthan
Jharkhand,Dhanbad,Sexual Harassment,Legal Aid NGO - Dhanbad 25,Legal Aid NGO,+91-7619730857,Sexual Harassment Dhanbad Jharkhand
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Aid NGO - Visakhapatnam 41,Legal Aid NGO,+91-7130270926,Property Dispute Visakhapatnam Andhra Pradesh
Kerala,Kozhikode,Caste Discrimination,Cyber Helpline - Kozhikode 83,Cyber Helpline,+91-9661695203,Caste Discrimination Kozhikode Kerala
Bihar,Gaya,Caste Discrimination,Women's Helpline - Gaya 82,Women's Helpline,+91-7669389628,Caste Discrimination Gaya Bihar
Kerala,Kozhikode,Dowry,Elder Help NGO - Kozhikode 20,Elder Help NGO,+91-8841064264,Dowry Kozhikode Kerala
Jharkhand,Jamshedpur,Property Dispute,Women's Helpline - Jamshedpur 94,Women's Helpline,+91-8356407372,Property Dispute Jamshedpur Jharkhand
Assam,Guwahati,Senior Citizen Abuse,Childline - Guwahati 34,Childline,+91-8063463728,Senior Citizen Abuse Guwahati Assam
Tamil Nadu,Chennai,Sexual Harassment,Legal Clinic - Chennai 6,Legal Clinic,+91-8213664584,Sexual Harassment Chennai Tamil Nadu
Telangana,Hyderabad,Senior Citizen Abuse,Women's Helpline - Hyderabad 99,Women's Helpline,+91-8272084727,Senior Citizen Abuse Hyderabad Telangana
Jharkhand,Dhanbad,Property Dispute,Elder Help NGO - Dhanbad 52,Elder Help NGO,+91-7560096718,Property Dispute Dhanbad Jharkhand
Chhattisgarh,Durg,Child Abuse,Legal Clinic - Durg 23,Legal Clinic,+91-7410038224,Child Abuse Durg Chhattisgarh
Assam,Silchar,Cyber Crime,Legal Aid NGO - Silchar 2,Legal Aid NGO,+91-7216580942,Cyber Crime Silchar Assam
Karnataka,Mysore,Cyber Crime,Cyber Helpline - Mysore 42,Cyber Helpline,+91-8507170340,Cyber Crime Mysore Karnataka
Telangana,Hyderabad,Child Abuse,Legal Clinic - Hyderabad 93,Legal Clinic,+91-8597712128,Child Abuse Hyderabad Telangana
Uttar Pradesh,Lucknow,Dowry,Childline - Lucknow 54,Childline,+91-9854847515,Dowry Lucknow Uttar Pradesh
Punjab,Amritsar,Senior Citizen Abuse,Childline - Amritsar 72,Childline,+91-7452569211,Senior Citizen Abuse Amritsar Punjab
Karnataka,Mysore,Caste Discrimination,District Legal Services Authority - Mysore 11,District Legal Services Authority,+91-7534305194,Caste Discrimination Mysore Karnataka
Jammu & Kashmir,Jammu,Child Abuse,Cyber Helpline - Jammu 83,Cyber Helpline,+91-7027266445,Child Abuse Jammu Jammu & Kashmir
Karnataka,Bengaluru,Cyber Crime,Childline - Bengaluru 43,Childline,+91-7615645595,Cyber Crime Bengaluru Karnataka
Karnataka,Mangalore,Child Abuse,District Legal Services Authority - Mangalore 80,District Legal Services Authority,+91-7031701699,Child Abuse Mangalore Karnataka
Bihar,Patna,Caste Discrimination,Elder Help NGO - Patna 22,Elder Help NGO,+91-8388169912,Caste Discrimination Patna Bihar
Uttar Pradesh,Varanasi,Child Abuse,Legal Aid NGO - Varanasi 78,Legal Aid NGO,+91-7945174923,Child Abuse Varanasi Uttar Pradesh
Punjab,Amritsar,Senior Citizen Abuse,Legal Aid NGO - Amritsar 38,Legal Aid NGO,+91-9147721433,Senior Citizen Abuse Amritsar Punjab
Madhya Pradesh,Jabalpur,Cyber Crime,District Legal Services Authority - Jabalpur 43,District Legal Services Authority,+91-7835840206,Cyber Crime Jabalpur Madhya Pradesh
Delhi,New Delhi,Sexual Harassment,District Legal Services Authority - New Delhi 20,District Legal Services Authority,+91-7752001651,Sexual Harassment New Delhi Delhi
Madhya Pradesh,Indore,Senior Citizen Abuse,District Legal Services Authority - Indore 17,District Legal Services Authority,+91-7576281781,Senior Citizen Abuse Indore Madhya Pradesh
Andhra Pradesh,Visakhapatnam,Sexual Harassment,Legal Aid NGO - Visakhapatnam 14,Legal Aid NGO,+91-7765073753,Sexual Harassment Visakhapatnam Andhra Pradesh
Assam,Guwahati,Child Abuse,Legal Aid NGO - Guwahati 39,Legal Aid NGO,+91-7417128743,Child Abuse Guwahati Assam
Chhattisgarh,Durg,Dowry,Childline - Durg 99,Childline,+91-8671913483,Dowry Durg Chhattisgarh
Assam,Dibrugarh,Child Abuse,Elder Help NGO - Dibrugarh 78,Elder Help NGO,+91-7024586594,Child Abuse Dibrugarh Assam
Madhya Pradesh,Bhopal,Property Dispute,Legal Clinic - Bhopal 43,Legal Clinic,+91-9537398326,Property Dispute Bhopal Madhya Pradesh
Uttar Pradesh,Varanasi,Property Dispute,Elder Help NGO - Varanasi 32,Elder Help NGO,+91-9978506255,Property Dispute Varanasi Uttar Pradesh
Jharkhand,Dhanbad,Dowry,Legal Clinic - Dhanbad 96,Legal Clinic,+91-7402504721,Dowry Dhanbad Jharkhand
Gujarat,Vadodara,Senior Citizen Abuse,Childline - Vadodara 96,Childline,+91-9987040056,Senior Citizen Abuse Vadodara Gujarat
Haryana,Panipat,Senior Citizen Abuse,Women's Helpline - Panipat 36,Women's Helpline,+91-9943390660,Senior Citizen Abuse Panipat Haryana
Karnataka,Bengaluru,Domestic Violence,District Legal Services Authority - Bengaluru 78,District Legal Services Authority,+91-9854091292,Domestic Violence Bengaluru Karnataka
Karnataka,Mysore,Caste Discrimination,Legal Clinic - Mysore 67,Legal Clinic,+91-7203679983,Caste Discrimination Mysore Karnataka
West Bengal,Kolkata,Child Abuse,Childline - Kolkata 21,Childline,+91-8171875510,Child Abuse Kolkata West Bengal
Tamil Nadu,Madurai,Sexual Harassment,Legal Clinic - Madurai 14,Legal Clinic,+91-7641359383,Sexual Harassment Madurai Tamil Nadu
Maharashtra,Nagpur,Cyber Crime,Women's Helpline - Nagpur 90,Women's Helpline,+91-9083505698,Cyber Crime Nagpur Maharashtra
Delhi,New Delhi,Domestic Violence,District Legal Services Authority - New Delhi 45,District Legal Services Authority,+91-9247367244,Domestic Violence New Delhi Delhi
Jharkhand,Dhanbad,Domestic Violence,Cyber Helpline - Dhanbad 69,Cyber Helpline,+91-7858636003,Domestic Violence Dhanbad Jharkhand
Uttar Pradesh,Lucknow,Cyber Crime,Elder Help NGO - Lucknow 55,Elder Help NGO,+91-8451221374,Cyber Crime Lucknow Uttar Pradesh
Haryana,Faridabad,Sexual Harassment,District Legal Services Authority - Faridabad 56,District Legal Services Authority,+91-7234542558,Sexual Harassment Faridabad Haryana
Punjab,Ludhiana,Property Dispute,Elder Help NGO - Ludhiana 97,Elder Help NGO,+91-9980777064,Property Dispute Ludhiana Punjab
West Bengal,Kolkata,Dowry,Legal Clinic - Kolkata 87,Legal Clinic,+91-8920875811,Dowry Kolkata West Bengal
Tamil Nadu,Madurai,Caste Discrimination,Cyber Helpline - Madurai 17,Cyber Helpline,+91-7179746193,Caste Discrimination Madurai Tamil Nadu
Madhya Pradesh,Indore,Property Dispute,Legal Clinic - Indore 72,Legal Clinic,+91-9917058702,Property Dispute Indore Madhya Pradesh
